HERSTELLER	TYP	SCHALTUNGSKONZEPT	VERWENDUNGSART	MAX. GEN.LEIST. WSTC (W)	AC-NENNLEIST. PAC (W)	EURO-ETA (%)
Sputnik Engineering AG	SolarMax 4600P single tracker mode	trafolos (zweistufig)	Netzeinspeisung	7360	4600	97.50	
Sputnik Engineering AG	SolarMax 5000P single tracker mode	trafolos (zweistufig)	Netzeinspeisung	8000	5000	97.50
Siemens AG	Sinvert PVM10	trafolos (zweistufig)	Netzeinspeisung	10200	10000	97.40	
Siemens AG	Sinvert PVM13	trafolos (zweistufig)	Netzeinspeisung	12400	12400	97.50	
Siemens AG	Sinvert PVM20	trafolos (zweistufig)	Netzeinspeisung	19600	19200	97.80	
Siemens AG	Sinvert PVM17 6DC	trafolos (zweistufig)	Netzeinspeisung	16800	16500	97.80
Fronius International GmbH	IG Plus 35 V-1	HF-Trafo	Netzeinspeisung	3710	3500	95.00	
Fronius International GmbH	IG Plus 50 V-1	HF-Trafo	Netzeinspeisung	4260	4000	95.00	
Fronius International GmbH	IG Plus 70 V-2	HF-Trafo	Netzeinspeisung	6880	6500	95.10	
Fronius International GmbH	IG Plus 100 V-2	HF-Trafo	Netzeinspeisung	8520	8000	95.20	
Fronius International GmbH	IG Plus 120 V-3	HF-Trafo	Netzeinspeisung	10590	10000	95.40	
Fronius International GmbH	IG Plus 150 V-3	HF-Trafo	Netzeinspeisung	12770	12000	95.40	
Fronius International GmbH	IG 15	HF-Trafo	Netzeinspeisung	1610	1300	91.40	
Fronius International GmbH	IG 60 HV	HF-Trafo	Netzeinspeisung	5380	4600	93.50	
Fronius International GmbH	IG 20	HF-Trafo	Netzeinspeisung	2150	1800	92.30	
Fronius International GmbH	IG 30	HF-Trafo	Netzeinspeisung	2850	2500	92.90	
Fronius International GmbH	IG 40	HF-Trafo	Netzeinspeisung	4410	3500	93.20	
Fronius International GmbH	IG TL 3.0	trafolos (einstufig)	Netzeinspeisung	3130	3000	97.10	
Fronius International GmbH	IG TL 3.6	trafolos (einstufig)	Netzeinspeisung	3850	3680	97.20	
Fronius International GmbH	IG TL 4.0	trafolos (einstufig)	Netzeinspeisung	4190	4000	97.30	
Fronius International GmbH	IG TL 5.0	trafolos (einstufig)	Netzeinspeisung	5250	5000	97.30	
Fronius International GmbH	IG 300	HF-Trafo	Netzeinspeisung	34000	24000	93.30	
